,시간,03-16 (일)
0,최대,111.54
1,최소,-69.76
2,가중평균,67.91
3,01시 1구간,97.15
4,01시 2구간,97.15
5,01시 3구간,97.15
6,01시 4구간,97.15
7,02시 1구간,83.61
8,02시 2구간,83.61
9,02시 3구간,83.61
10,02시 4구간,83.61
11,03시 1구간,82.45
12,03시 2구간,82.45
13,03시 3구간,82.45
14,03시 4구간,82.45
15,04시 1구간,82.45
16,04시 2구간,82.45
17,04시 3구간,82.45
18,04시 4구간,82.45
19,05시 1구간,82.45
20,05시 2구간,82.45
21,05시 3구간,82.45
22,05시 4구간,82.45
23,06시 1구간,82.45
24,06시 2구간,82.45
25,06시 3구간,82.45
26,06시 4구간,82.45
27,07시 1구간,-48.0
28,07시 2구간,-48.0
29,07시 3구간,85.12
30,07시 4구간,85.12
31,08시 1구간,85.12
32,08시 2구간,85.12
33,08시 3구간,85.12
34,08시 4구간,85.12
35,09시 1구간,82.45
36,09시 2구간,82.45
37,09시 3구간,82.45
38,09시 4구간,82.45
39,10시 1구간,82.45
40,10시 2구간,82.45
41,10시 3구간,82.45
42,10시 4구간,-48.0
43,11시 1구간,-69.76
44,11시 2구간,-69.76
45,11시 3구간,-69.76
46,11시 4구간,-69.76
47,12시 1구간,-69.76
48,12시 2구간,-69.76
49,12시 3구간,-69.76
50,12시 4구간,-69.76
51,13시 1구간,-69.76
52,13시 2구간,-69.76
53,13시 3구간,-69.76
54,13시 4구간,-69.76
55,14시 1구간,-69.76
56,14시 2구간,-69.76
57,14시 3구간,-48.0
58,14시 4구간,111.54
59,15시 1구간,99.05
60,15시 2구간,99.05
61,15시 3구간,99.05
62,15시 4구간,99.05
63,16시 1구간,95.61
64,16시 2구간,95.61
65,16시 3구간,95.61
66,16시 4구간,95.61
67,17시 1구간,86.55
68,17시 2구간,86.55
69,17시 3구간,86.55
70,17시 4구간,86.55
71,18시 1구간,97.15
72,18시 2구간,97.15
73,18시 3구간,97.15
74,18시 4구간,97.15
75,19시 1구간,98.41
76,19시 2구간,98.41
77,19시 3구간,98.41
78,19시 4구간,98.41
79,20시 1구간,98.41
80,20시 2구간,98.41
81,20시 3구간,98.41
82,20시 4구간,98.41
83,21시 1구간,98.41
84,21시 2구간,98.41
85,21시 3구간,98.41
86,21시 4구간,98.41
87,22시 1구간,98.41
88,22시 2구간,98.41
89,22시 3구간,98.41
90,22시 4구간,98.41
91,23시 1구간,98.41
92,23시 2구간,98.41
93,23시 3구간,98.41
94,23시 4구간,98.41
95,24시 1구간,98.41
96,24시 2구간,98.41
97,24시 3구간,98.41
98,24시 4구간,98.41
