,시간,03-20 (목)
0,최대,150.44
1,최소,-69.76
2,가중평균,92.47
3,01시 1구간,112.45
4,01시 2구간,112.45
5,01시 3구간,112.45
6,01시 4구간,112.45
7,02시 1구간,100.47
8,02시 2구간,100.47
9,02시 3구간,100.47
10,02시 4구간,100.47
11,03시 1구간,97.02
12,03시 2구간,97.02
13,03시 3구간,97.02
14,03시 4구간,97.02
15,04시 1구간,96.99
16,04시 2구간,96.99
17,04시 3구간,96.99
18,04시 4구간,96.99
19,05시 1구간,97.02
20,05시 2구간,97.02
21,05시 3구간,97.02
22,05시 4구간,97.02
23,06시 1구간,111.15
24,06시 2구간,111.15
25,06시 3구간,111.15
26,06시 4구간,111.15
27,07시 1구간,150.02
28,07시 2구간,150.02
29,07시 3구간,150.02
30,07시 4구간,150.02
31,08시 1구간,150.02
32,08시 2구간,150.02
33,08시 3구간,150.02
34,08시 4구간,150.02
35,09시 1구간,150.44
36,09시 2구간,150.44
37,09시 3구간,150.44
38,09시 4구간,145.4
39,10시 1구간,145.25
40,10시 2구간,145.25
41,10시 3구간,136.12
42,10시 4구간,136.12
43,11시 1구간,111.09
44,11시 2구간,-48.0
45,11시 3구간,-69.76
46,11시 4구간,-69.76
47,12시 1구간,-69.76
48,12시 2구간,-69.76
49,12시 3구간,-69.76
50,12시 4구간,-69.76
51,13시 1구간,-69.76
52,13시 2구간,-69.76
53,13시 3구간,-69.76
54,13시 4구간,-69.76
55,14시 1구간,-69.76
56,14시 2구간,-69.76
57,14시 3구간,-69.76
58,14시 4구간,-69.76
59,15시 1구간,-69.76
60,15시 2구간,-69.76
61,15시 3구간,-69.76
62,15시 4구간,-69.76
63,16시 1구간,-69.76
64,16시 2구간,-69.76
65,16시 3구간,-48.0
66,16시 4구간,0.0
67,17시 1구간,130.22
68,17시 2구간,130.22
69,17시 3구간,130.22
70,17시 4구간,145.06
71,18시 1구간,147.68
72,18시 2구간,147.68
73,18시 3구간,147.68
74,18시 4구간,147.68
75,19시 1구간,129.64
76,19시 2구간,129.64
77,19시 3구간,129.64
78,19시 4구간,148.1
79,20시 1구간,148.25
80,20시 2구간,148.25
81,20시 3구간,148.25
82,20시 4구간,148.25
83,21시 1구간,148.25
84,21시 2구간,148.25
85,21시 3구간,148.25
86,21시 4구간,148.25
87,22시 1구간,148.25
88,22시 2구간,148.25
89,22시 3구간,148.25
90,22시 4구간,148.25
91,23시 1구간,148.25
92,23시 2구간,148.25
93,23시 3구간,148.25
94,23시 4구간,148.25
95,24시 1구간,148.25
96,24시 2구간,148.25
97,24시 3구간,146.05
98,24시 4구간,146.05
